id,repo_fullname,commits_count,commits_days_since_first,commits_days_since_last,commits_total_lines_added,commits_total_lines_removed,commits_avg_added,commits_avg_removed,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day,commits_avg_per_day_real,commits_max_per_day,contributors_count,contributors_top_avg_commits,contributors_top_avg_participation_week,contributors_top_avg_additions,contributors_top_avg_deletions,forks_count,forks_avg_per_day,forks_avg_max_per_day,issues_total_comments,issues_count,issues_open,issues_labels,issues_avg_labels,issues_avg_closing_time,issues_avg_comment_time,issues_avg_comments,issues_avg_comment_length,issues_avg_title_length,issues_avg_body_length,issues_avg_per_day,issues_avg_per_day_real,issues_max_per_day,repo_size,repo_topics,repo_branches,repo_age_days,repo_workflows,repo_languages,repo_milestones,repo_watchers,repo_deployments,repo_readme_length,repo_network_members,pulls_count,pulls_total_lines_added,pulls_total_lines_removed,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_closing_time,pulls_avg_comments,pulls_avg_review_comments,pulls_avg_Commits,pulls_avg_body_length,pulls_avg_title_length,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_created_per_day,pulls_avg_created_per_day_real,pulls_max_created_per_day,releases_count,releases_tags,releases_total_downloads,releases_avg_body_length,releases_avg_title_length,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,releases_avg_downloads_per_day,stars_count,stars_avg_per_day_real,stars_max_per_day,wf_count,wf_avg_duration,wf_avg_success_duration,wf_avg_failure_duration,wf_avg_successes_per_day,wf_avg_successes_per_day_real,wf_avg_fails_per_day,created_at,updated_at
46,microsoft/dotnet-rbroker-framework,15,2588,2129,9089,473,606,32,27,29,,2,3,2,4,1,1102,16,16,0,2,4,6,4,0,0,0,0,0,62,60,690,0,1,1,502,0,2,2588,0,2,0,7,0,2820,17,1,19,5,19,5,0,0,0,1,200,49,1,0,0,1,1,4,4,1312,402,5,2,164,277332,,7,1,1,0,0,0,0,0,0,0,2022-03-06 00:28:44.271976,2022-03-06 00:28:44.271976
47,MicrosoftDocs/E2E_Mic_Transfer_Dynamic,2,1718,1718,528,0,264,0,5,112,,2,2,1,2,1,264,0,2,0,1,12,1,1,0,0,0,0,12,704,15,0,0,1,1,9,0,3,1718,0,1,0,3,0,373,2,1,1,1,1,1,0,12,0,1,0,15,1,0,0,1,1,0,0,0,0,0,0,0,0,,3,1,1,0,0,0,0,0,0,0,2022-03-06 00:28:56.351198,2022-03-06 00:28:56.351198
48,doubleencore/CocoaLumberjack,180,4336,1747,133037,15677,739,87,5,77,,2,6,19,7,3,1011,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,0,4,3207,0,5,0,0,0,2719,2218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2022-03-06 00:30:40.727571,2022-03-06 00:30:40.727571
49,CCSU-CS416F16/CS416F16CourseInfo,69,2357,1872,86695,9500,1256,138,35,30,,2,8,1,63,21,1334,188,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666,0,1,2019,0,6,0,6,0,157,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,1,1,0,0,0,0,0,0,0,2022-03-06 00:31:32.685343,2022-03-06 00:31:32.685343
50,wrideveloper/miniclass-web,347,1402,17,23644,8445,68,24,4,39,,3,20,34,8,3,76,42,46,0,9,37,128,26,122,0,0,0,0,122,47,524,0,2,8,11081,5,18,1402,0,0,0,36,0,5139,49,7,943,53,134,7,0,0,2,2,9,41,2,0,0,1,2,0,0,0,0,0,0,0,0,,36,1,1,0,0,0,0,0,0,0,2022-03-06 00:35:03.418065,2022-03-06 00:35:03.418065
51,Azure/DistributedDeepLearning,87,1308,1174,184039,23662,2115,272,4,37,,6,18,0,0,0,0,0,10,0,1,2,9,0,0,0,0,0,0,26,37,443,0,1,2,619,7,9,1308,0,5,0,24,0,5062,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,1,2,0,0,0,0,0,0,0,2022-03-06 00:36:04.640592,2022-03-06 00:36:04.640592
52,MicrosoftDocs/OfficeDocs-Exchange-Test-pr.ru-ru,119,1409,816,655482,198009,5508,1664,53,60,,3,18,13,6,2,2699,857,13,0,2,48,25,0,0,0,0,0,1,13728,29,8,0,1,2,16989,0,5,1409,0,1,0,4,0,373,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,1,1,0,0,0,0,0,0,0,2022-03-06 00:38:12.688062,2022-03-06 00:38:12.688062
53,MicrosoftDocs/office-developer-lync-silverlight-ref-dotnet,20,1412,79,89587,38,4479,2,32,63,,2,5,6,2,1,11877,5907,3,0,1,11,7,1,0,0,0,0,1,12296,40,54,0,1,1,11296,0,3,1412,0,1,0,2,0,373,3,1,3,3,3,3,0,1,0,1,0,27,1,0,0,1,1,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-06 00:38:39.297871,2022-03-06 00:38:39.297871
54,wildauwil/modul2,80,1808,1738,212,3,3,0,2,32,,10,56,20,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,1809,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2022-03-06 00:39:26.30245,2022-03-06 00:39:26.30245
55,Azure-Samples/azure-devops-release-notes,16,1237,964,1262,159,79,10,3,22,,3,10,4,3,1,123,44,23,0,1,4,4,1,0,0,0,0,1,67,41,1016,0,1,2,456,0,1,1237,0,1,0,56,0,8653,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,928,0,36,1,309,297776,,56,1,4,0,0,0,0,0,0,0,2022-03-06 00:39:47.069698,2022-03-06 00:39:47.069698
